time	line	instance	edges	omega	degree	minloops	maxloops	pimin	lambda	[lambda>0]	mix	leigen	ueigen	ucanon	
(60h:43m:06s)	11190	5,5,4,4,1,0;6,4,3,3,3,0	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:06s)	11191	5,5,4,4,1,0;5,5,3,3,3,0	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:06s)	11192	5,5,4,4,1,0;5,4,4,3,3,0	19	2	441	440	440	1/2	0.995465	1	1368	682.053	1676	1676	
(60h:43m:06s)	11193	5,5,4,4,1,0;4,4,4,4,3,0	19	9	441	433	436	1/9	0.993197	1	911	453.666	1338.43	3123.01	
(60h:43m:06s)	11194	5,5,4,4,1,0;6,6,4,1,1,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:06s)	11195	5,5,4,4,1,0;6,5,5,1,1,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:06s)	11196	5,5,4,4,1,0;6,6,3,2,1,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:06s)	11197	5,5,4,4,1,0;6,5,4,2,1,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:06s)	11198	5,5,4,4,1,0;5,5,5,2,1,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:06s)	11199	5,5,4,4,1,0;6,5,3,3,1,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:06s)	11200	5,5,4,4,1,0;6,4,4,3,1,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:06s)	11201	5,5,4,4,1,0;5,5,4,3,1,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:06s)	11202	5,5,4,4,1,0;5,4,4,4,1,1	19	2	441	440	440	1/2	0.995465	1	1368	682.053	1676	1676	
(60h:43m:06s)	11203	5,5,4,4,1,0;6,6,2,2,2,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:06s)	11204	5,5,4,4,1,0;6,5,3,2,2,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:06s)	11205	5,5,4,4,1,0;6,4,4,2,2,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:06s)	11206	5,5,4,4,1,0;5,5,4,2,2,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:07s)	11207	5,5,4,4,1,0;6,4,3,3,2,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:07s)	11208	5,5,4,4,1,0;5,5,3,3,2,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:07s)	11209	5,5,4,4,1,0;5,4,4,3,2,1	19	8	441	436	437	1/8	0.99259	1	883	416.214	1212.8	2477.1	
(60h:43m:07s)	11210	5,5,4,4,1,0;4,4,4,4,2,1	19	35	441	423	433	1/35	0.992186	1	812	394.529	1338.94	5141.57	
(60h:43m:07s)	11211	5,5,4,4,1,0;6,3,3,3,3,1	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:07s)	11212	5,5,4,4,1,0;5,4,3,3,3,1	19	18	441	433	433	1/18	0.991774	1	792	374.629	1191.1	4080.92	
(60h:43m:07s)	11213	5,5,4,4,1,0;4,4,4,3,3,1	19	72	441	422	431	1/72	0.990648	1	704	329.144	1195.91	6781.95	
(60h:43m:07s)	11214	5,5,4,4,1,0;6,5,2,2,2,2	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:07s)	11215	5,5,4,4,1,0;6,4,3,2,2,2	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:07s)	11216	5,5,4,4,1,0;5,5,3,2,2,2	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:07s)	11217	5,5,4,4,1,0;5,4,4,2,2,2	19	15	441	435	435	1/15	0.99093	1	714	339.473	1060.14	3675.16	
(60h:43m:07s)	11218	5,5,4,4,1,0;6,3,3,3,2,2	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:07s)	11219	5,5,4,4,1,0;5,4,3,3,2,2	19	34	441	432	432	1/34	0.989895	1	662	304.386	1032.54	4060.1	
(60h:43m:07s)	11220	5,5,4,4,1,0;4,4,4,3,2,2	19	133	441	424	428	1/133	0.989154	1	616	283.381	1087.76	5711.52	
(60h:43m:07s)	11221	5,5,4,4,1,0;5,3,3,3,3,2	19	78	441	429	430	1/78	0.988662	1	592	270.957	993.526	4521.82	
(60h:43m:07s)	11222	5,5,4,4,1,0;4,4,3,3,3,2	19	276	441	424	427	1/276	0.988043	1	562	256.768	1047.77	6045.38	
(60h:43m:08s)	11223	5,5,4,4,1,0;4,3,3,3,3,3	19	570	441	423	424	1/570	0.985826	1	499	216.115	935.034	9228.55	
(60h:43m:08s)	11224	6,6,3,2,2,0;6,6,3,2,2,0	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:08s)	11225	6,6,3,2,2,0;6,5,4,2,2,0	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:08s)	11226	6,6,3,2,2,0;5,5,5,2,2,0	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:08s)	11227	6,6,3,2,2,0;6,5,3,3,2,0	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:08s)	11228	6,6,3,2,2,0;6,4,4,3,2,0	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
(60h:43m:08s)	11229	6,6,3,2,2,0;5,5,4,3,2,0	19	0	0	0	0	0	NA	NA	NA	NA	NA	NA	
